title,description
Coraline,"Animation, Family. dream, eye, stuffed animal, parallel world, button, new home, secret door, aftercreditsstinger, duringcreditsstinger. When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her."
The Last Samurai,"Drama, Action, War, History. japan, war crimes, sense of guilt, swordplay, general, samurai, war veteran, katana, sword, arms deal, homeland, emperor, language barrier, self-discovery, mountain village, foreign legion, mercenary, campaign, commercial agreement, insurgence, leader, war strategy, gettysburg, loss of husband, slaughter, soldier, alcoholic, u.s. soldier, japanese army, 19th century, war trauma. Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist."
Road to Perdition,"Thriller, Crime, Drama. based on graphic novel, homework, shot in the chin, soft boiled egg, learning to drive, spoiled son, scarred face, thompson sub machine gun, frost on a window, cauterizing a wound, liberty half dollar. Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him."
The Artist,"Drama, Comedy, Romance. film producer, film history, movie studio, hollywood, dog, mustache, hollywoodland, silent film, marquee, terrier, movie star, flapper, silent film star. Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break."
Jackie Brown,"Comedy, Crime, Romance. airport, underworld, arms deal, weapon, police, drug. Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan—with help from a bail bondsman—to keep the money for herself. Based on Elmore Leonard's novel “Rum Punch”."
Black Swan,"Drama, Thriller. dancing, competition, sex, dancer, obsession, paranoia, insanity, suspense, ballet, new york city, heartbreak, mental illness, madness, swan lake, ballerina, body horror. A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan."
Apollo 13,"Drama. moon, florida, nasa, spaceman, race against time, houston, based on true story, space, rescue, survival, disaster, explosion, astronaut, imax, saturn v rocket, courage, hypothermia, apollo program, cape kennedy, lunar mission, spacecraft accident. The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
Pitch Perfect,"Comedy, Music, Romance. competition, roommate, college, female friendship, music, hazing, male female relationship, audition, group of friends, dorm room, bickering, dj, singing competition, film score, female musician, singing contest, young adult, acapella. College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions."
The Longest Ride,"Drama, Romance. based on novel, art student, cowboy, injury, bull riding, romantic drama, young adult. The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash."
Lost in Translation,"Drama. upper class, hotel room, age difference, commercial, karaoke, homesickness, culture clash, jet lag, pop star, unsociability, aftercreditsstinger, woman director. Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America."
Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller. leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d. A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes."
If I Stay,"Drama. coma, musician, teenage girl, car accident, teenager, out of body experience, teen drama, based on young adult novel. Based on Gayle Forman's novel of the same name. ""If I Stay"" is the story of the gifted classical musician Mia and her boyfriend, Adam, an up and coming indie-rock star. Torn between two paths in life, her art or her relationship, Mia is forced to make an even starker choice between life and death when she is caught in a fatal car accident with her family one snowy morning in Oregon."
Man on Fire,"Action, Drama, Thriller, Crime. mexico, cia, kidnapping, diary, bible, bodyguard, stuffed animal, cell phone, alcoholic, grenade launcher, bloodshed, swim meet. Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life."
Moonlight,"Drama. gay, drug abuse, florida, fight, drug addiction, restaurant, drug dealer, high school, homosexuality, coming of age, african american, mother son relationship, lgbt, addict, black lgbt. The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality."
Predestination,"Science Fiction, Thriller. time travel. Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost."
Creed,"Drama. underdog, sport, spin off, underground fighting, motivational speaker, boxing. The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
The Bourne Ultimatum,"Action, Drama, Mystery, Thriller. paris, corruption, madrid, assassin, based on novel, europe, prosecution, dangerous, false identity, revelation, government, weapon, interpol, sequel, conspiracy, shootout, espionage, motorcycle, violence, foot chase, moskow, dark past, langley virginia, flashback, chase on the roof, security leak. Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him."
Furious 7,"Action. car race, speed, revenge, suspense, car, race, muscle car. Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."
The Big Short,"Comedy, Drama. bank, fraud, biography, wall street, finances, based on true story, animated sequence, breaking the fourth wall, loan, financial crisis, real estate, mortgage. The men who made millions from a global economic meltdown."
The Bourne Identity,"Action, Drama, Mystery, Thriller. paris, barcelona spain, assassin, based on novel, secret identity, amnesia, sniper, passport, mission of murder, lovers, escape, shootout, foot chase, cell phone, car chase, multiple identities, surveillance camera, hamburg germany, fishing boat, langley virginia, safe deposit box, flashback, hand to hand combat. Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?"
Inside Man,"Crime, Drama, Thriller. bank manager, kidnapping, nazi background, document, ultimatum, court case, heist, financial transactions. Bank robber Dalton Russell enters a Manhattan bank, locks the doors and takes hostages, working methodically and without haste. Detective Frazier is assigned to negotiate, but his mind is occupied with the corruption charges he is facing. With an army of police surrounding the bank, the thief, the cop and a high-profile 'fixer' enter high-stakes negotiations."
The Great Gatsby,"Drama, Romance. based on novel, infidelity, obsession, hope, 3d. An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await."
E.T. the Extra-Terrestrial,"Science Fiction, Adventure, Family, Fantasy. farewell, homesickness, nasa, extraterrestrial technology, operation, space marine, loss of father, hiding place, riding a bicycle, flying saucer, prosecution, halloween, flowerpot, finger, single. After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien."
Unbroken,"Drama, War. world war ii, prisoners of war, biography, sport, war, athlete, woman director, olympic athlete. A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II."
Gravity,"Science Fiction, Thriller, Drama. space mission, loss, space, astronaut, trapped in space. Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space."
Carol,"Romance, Drama. gay, new york, female nudity, chicago, sex, hotel, age difference, department store, nudity, photography, road trip, lesbian relationship, mother daughter relationship, lesbian, divorce, lgbt, mother child relationship, child custody, older woman younger woman relationship, christmas, 1950s. In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman."
The Fifth Element,"Adventure, Fantasy, Action, Thriller, Science Fiction. clone, taxi, cyborg, egypt, future, stowaway, space travel, race against time, arms dealer, love, alien, priest, end of the world, good vs evil, shootout, police chase, cab driver, new york city, space opera, military, opera singer, resort hotel, ancient astronaut, archeologist, ancient evil, cruise liner. In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity."
American Psycho,"Thriller, Drama, Crime. based on novel, wall street, psychopath, white collar, harvard business school, child of divorce, unreliable narrator, woman director, voice imitation. A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
Predator,"Science Fiction, Action, Adventure, Thriller. central and south america, predator, alien, stalking, invisible, commando, 3d. Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time."
Avengers: Age of Ultron,"Action, Adventure, Science Fiction. marvel comic, sequel, superhero, based on comic, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d. When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure."
Toy Story 2,"Animation, Comedy, Family. museum, prosecution, identity crisis, airplane, flea market, collector, teamwork, friendship, rescue team, garage sale, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life. Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong."
Hercules,"Animation, Family, Fantasy, Adventure, Comedy, Romance. hades, musical, peasant, animation, aftercreditsstinger, olympus, hercules. Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!"
Casino Royale,"Adventure, Action, Thriller. italy, poker, casino, terrorist, banker, money, free running, torture, british secret service, montenegro. Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career."
Ghostbusters,"Comedy, Fantasy. mythology, loser, marshmallow, slime, supernatural powers, nerd, environmental protection agency, hybrid, possession, new york city twin towers, haunting, gate keeper, giant monster, paranormal phenomena, receptionist, ghost, duringcreditsstinger. After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator."
Being John Malkovich,"Fantasy, Drama, Comedy. individual, transvestism, sexual identity, witch, identity, subconsciousness, new identity, pet, chimp, puppeteer, appropriation of another human being, externally controlled action, married couple, brain, pet shop, door, secret love. Spike Jonze’s debut feature film is a love story mix of comedy and fantasy. The story is about an unsuccessful puppeteer named Craig, who one day at work finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it’s mad and controlling world of overtaking another human body."
Southpaw,"Action, Drama. sport. Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most."
District 9,"Science Fiction. slum, street gang, mutation, south africa, johannesburg, dystopia, genetics, government, satire, alien, prawn, mockumentary, alternate history, racism, metamorphosis, xenophobia, internment camp, body transformation, alien technology, segregation. Aliens land in South Africa and, with their ship totally disabled,  have no way home. Years later, after living in a slum and wearing out their welcome the 'Non-Humans' are being moved to a new tent city overseen by Multi-National United (MNU)."
The Revenant,"Western, Drama, Adventure, Thriller. father son relationship, rape, based on novel, mountain, winter, grizzly bear, wilderness, frontier, revenge, murder, native american, survival, bear, snow, violence, animal death, bear attack, death of son, based on true events, fur trapper. In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling."
10 Things I Hate About You,"Comedy, Romance, Drama. shakespeare, sister, high school, cannabis, deception, teen movie, shrew, archery, feel-good ending, opposites attract, duringcreditsstinger, teenage romance, play adaptation, overprotective father. Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat."
Frozen,"Animation, Adventure, Family. queen, musical, princess, betrayal, snowman, animation, reindeer, curse, snow, troll, mountain climber, aftercreditsstinger, woman director, 3d. Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means."
The Butterfly Effect,"Science Fiction, Thriller. amnesia, chaos theory, blackout, time travel, flashback. A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences."
The Machinist,"Thriller, Drama. factory, insomnia, post it, machinist, cleaning bathroom tile, osha, taunting, manhole, one armed man, torment, losing weight, old photograph, dostoevsky. The Machinist is the story of Trevor Reznik, a lathe-operator who is dying of insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are compounded by fatigue. Trevor has lost the ability to sleep. This is no ordinary insomnia..."
"O Brother, Where Art Thou?","Action, Adventure, Comedy. prophecy, southern usa, music record, country music, mississippi, seduction, musical, fraud. In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'."
Now You See Me,"Thriller, Crime. paris, bank, secret, fbi, vault, magic, new orleans, investigation, heist, conspiracy, money, escape, new york city, las vegas, explosion. An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money."
Zodiac,"Crime, Drama, Mystery, Thriller. california, san francisco, killing, journalist, newspaper, mass murder, planned murder, embassy, victim, threat to death, victim of murder, code, police, murder, serial killer, reporter. The true story of the investigation of 'The Zodiac Killer',  a serial killer who terrified the San Francisco Bay Area, taunting police with his ciphers and letters. The case becomes an obsession for four men as their lives and careers are built and destroyed by the endless trail of clues."
Saving Mr. Banks,"Comedy, Drama, History. biography, animation, writer, film production. Author P.L. Travers travels from London to Hollywood as Walt Disney Pictures adapts her novel Mary Poppins for the big screen."
Shrek,"Adventure, Animation, Comedy, Family, Fantasy. magic, liberation, lordship, castle, robin hood, enchantment, fairy-tale figure, princess, parody, woman director, ogre. It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey."
Moana,"Adventure, Animation, Family. ocean, sailboat, mythology, island, musical, animation, curse, young girl, sailor, aftercreditsstinger, demigod, polynesia, voyage, pacific  ocean, quest, maui, animal sidekick. In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right."
Apocalypto,"Action, Adventure, Drama, Thriller. loss of family, solar eclipse, slavery, jaguar, village, maya civilization, forest, tribe, human sacrifice, central america, maya, ancient civilization, yucatec maya language. Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life."
The Wrestler,"Drama, Romance. supermarket, heart attack, ambition, daughter, wrestling, sport, stripper, steroids, fame, barbed wire, wrestler, redemption. Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback."
The Curious Case of Benjamin Button,"Fantasy, Drama, Thriller, Mystery, Romance. diary, navy, funeral, tea, travel, hospital. Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences."
Mad Max: Fury Road,"Action, Adventure, Science Fiction, Thriller. future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future. An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland."
Training Day,"Action, Crime, Drama, Thriller. police brutality, war on drugs, drug traffic, drug dealer, los angeles, gang member, mexican american, barrio, cholo. On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears."
Begin Again,"Comedy, Music, Romance, Drama. . Gretta's celebrity boyfriend breaks up with her after a long-term relationship, leaving the singer to find success on her own. With the help of record producer, Dan and hip-hop celebrity, Trouble Gum, Gretta strives to fulfil her musical ambitions."
Chef,"Comedy. father son relationship, kitchen, restaurant owner, road trip, food, chef, ex-husband ex-wife relationship, twitter, social media, duringcreditsstinger, food truck. When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love."
Baby Driver,"Action, Crime. robbery, atlanta, music, crime boss, romance, tinnitus, car chase, car, getaway driver. After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
Corpse Bride,"Romance, Fantasy, Animation, Music. shyness, england, cheating, old town, grave, skeleton, musical, marriage, wedding ring, stop motion, animation, money, wedding, corpse, wedding ceremony, parents, dark fantasy, european, ring, piano. Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living."
(500) Days of Summer,"Comedy, Drama, Romance. date, sex, jealousy, fight, architect, gallery, interview, sister, party, love, friends, fate, los angeles, summer, ikea, year, heartache. Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life."
Match Point,"Drama, Thriller, Crime, Romance. love triangle, london england, upper class, adultery, tennis, river thames, love, wealth, lust, instructor, gold digger, social climbing, actress. Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins."
The Bourne Supremacy,"Action, Drama, Thriller. berlin, assassin, based on novel, amnesia, sniper, lie, sequel, suspense, on the run, shootout, espionage, violence, foot chase, car chase, exploding house, though guy, one against many, rail car, dark past, moscow, hand to hand combat. When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive."
Crash,"Drama. race politics, daughter, installer, police, fall, car crash, racism, los angeles, bigotry, social services, collision. Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
Zombieland,"Comedy, Horror. washington d.c., sister sister relationship, post-apocalyptic, road trip, blood splatter, parody, survival, zombie, violence, survival horror, amusement park, twinkie, body count, zombification, disposing of a dead body, bitten on the arm, loner, aftercreditsstinger, zombie apocalypse, fear of clowns. Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other."
Hell or High Water,"Crime, Drama, Thriller, Western. desperation, texas, bank robber, brother, shooting, car set on fire, gun battle, police officer killed, criminal, held at gunpoint, police car, small western town, saying goodbye, bullet hole in windscreen. A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas."
Law Abiding Citizen,"Drama, Crime, Thriller. tattoo, secret passage, baseball bat, deal, explosion, justice, district attorney, courtroom, vigilantism. A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal."
The Hurt Locker,"Drama, Thriller, War. sniper, explosive, loyalty, u.s. army, iraq, car bomb, suspense, tension, iraq war, desert, bomb squad, body armor, woman director, army sergeant. Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb."
Sin City,"Action, Thriller, Crime. dystopia, based on comic, held captive, based on graphic novel, black and white and color, black and white scene, black and white to color, mysterious killer, doing the right thing, mercedes, silhouette, neo-noir. Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care."
The Blind Side,"Drama. american football, adoption, education, private school, sport, american football player, duringcreditsstinger. Oversized African-American, Michael Oher, the teen from across the tracks and a broken home, has nowhere to sleep at age 16. Taken in by an affluent Memphis couple, Michael embarks on a remarkable rise to play for the NFL."
Nocturnal Animals,"Drama, Thriller. based on novel, hostage, cancer, mother daughter relationship, writer, overbearing mother, art, novelist, carjacking, story within the story, flashback, lung cancer. Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent."
Avatar,"Action, Adventure, Fantasy, Science Fiction. culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d. In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
Finding Neverland,"Drama. skab under tv, Øverste hylde, foran. Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece “Peter Pan.”"
Saw,"Horror, Mystery, Crime. shotgun, based on short film, sadist, pistol, chained, bludgeoning, game of death. Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying..."
The Hangover,"Comedy. underwear, tiger, stag night, hangover, lost weekend, bag over head, chapel, hit with tire iron, memory loss, las vegas, duringcreditsstinger, elevator. When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time."
The Fighter,"Drama. sport, irish american, documentary crew, lowell massachusetts, blue collar worker, church bells, documentary filmmaking, boxer shorts, jumping rope, shadow boxing, duringcreditsstinger. The Fighter, is a drama about boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime."
Bridge of Spies,"Thriller, Drama. spy, cia, cold war, soviet union, pilot, lawyer, american. During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court."
Blue Is the Warmest Color,"Romance, Drama. france, homophobia, love, lesbian relationship, gay interest, coming of age, lesbian, teenage girl, sexual attraction, teenage love, based on graphic novel, high school student, sexual desire, teenage sexuality, lgbt, sexual awakening, social class. Adele's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire, to assert herself as a woman and as an adult. In front of others, Adele grows, seeks herself, loses herself, finds herself."
Ocean's Eleven,"Thriller, Crime. prison, pickpocket, strip club, con artist, atlantic city, cockney accent, las vegas, card dealer, explosives expert, black and white scene, male, salt lake city utah. Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess."
Grease,"Romance. flying car, street gang, running, graduation, musical, rivalry, based on play or musical, gossip, makeover, automobile racing, nostalgic, greaser, wolf whistle, school dance, animated credits, pep rally, wrong side of the tracks, mooning, school principal. Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?"
Gone Baby Gone,"Crime, Drama, Mystery. corruption, robbery, detective, based on novel, boston, kidnapping, blackmail, police, murder, conspiracy, gang, pedophile, violence, drug, alcoholic, addict, child kidnapping, neo-noir. When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve the case, they are faced with a moral dilemma that tears them apart."
Interview with the Vampire,"Horror, Romance. paris, san francisco, vampire, plantation, pity, bite, fang vamp. A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter."
Enemy at the Gates,"War. winter, sniper, world war ii, stalingrad. Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans."
